n,deck,owner,date,winrate,ngames,nwins,nloss,elo,glicko,rd
1,Zoul,Zoul,14/06/2021,1.0,5,5,0,1584,1842,208
3,Xari,Xari,14/06/2021,0.0,0,0,0,1500,1500,350
2,Soey,Soey,14/06/2021,0.25,4,1,3,1467,1416,213
4,QC,QC,14/06/2021,0.0,3,0,3,1444,1270,225
