n,deck1,deck2,score1,score2,date,elo1,glicko1,rd1,elo2,glicko2,rd2
1,Nordique,Defense,,,25/11/2020,1520,1525,96,1480,1475,96
2,Defense,Nordique,,,25/11/2020,1502,1502,93,1497,1499,93
3,MagicienSombre,Samourai,,,25/11/2020,1520,1525,96,1480,1475,96
4,MagicienSombre,Samourai,,,25/11/2020,1537,1545,93,1462,1455,93
